        a          b         p       ABSOLUTE ERROR     RELATIVE_ERROR  
****************************************************************************
 1. 2.000000   4.000000   3.000000       1.000000        0.333333   
 2. 3.000000   4.000000   3.500000       0.500000        0.142857   
 3. 3.000000   3.500000   3.250000       0.250000        0.076923   
 4. 3.000000   3.250000   3.125000       0.125000        0.040000   
 5. 3.000000   3.125000   3.062500       0.062500        0.020408   
 6. 3.000000   3.062500   3.031250       0.031250        0.010309   
 7. 3.031250   3.062500   3.046875       0.015625        0.005128   
 8. 3.046875   3.062500   3.054688       0.007812        0.002558   
 9. 3.054688   3.062500   3.058594       0.003906        0.001277   
10. 3.054688   3.058594   3.056641       0.001953        0.000639   
11. 3.056641   3.058594   3.057617       0.000977        0.000319   
12. 3.056641   3.057617   3.057129       0.000488        0.000160   
13. 3.056641   3.057129   3.056885       0.000244        0.000080   
14. 3.056885   3.057129   3.057007       0.000122        0.000040   
15. 3.057007   3.057129   3.057068       0.000061        0.000020   
16. 3.057068   3.057129   3.057098       0.000031        0.000010   
17. 3.057098   3.057129   3.057114       0.000015        0.000005   
18. 3.057098   3.057114   3.057106       0.000008        0.000002   

TOTAL ITERATION IS :  18
THE APPROXIMATE ROOT :  3.057106
